,location,total_sqft,bath,price,bedrooms
50,5th Phase JP Nagar,1207,2.0,63.0,2.0
51,5th Phase JP Nagar,1440,2.0,60.0,2.0
52,5th Phase JP Nagar,1390,2.0,65.0,2.0
53,5th Phase JP Nagar,1256,2.0,62.8,2.0
54,5th Phase JP Nagar,1000,2.0,48.0,2.0
55,5th Phase JP Nagar,1200,2.0,51.0,2.0
56,5th Phase JP Nagar,1030,2.0,57.0,2.0
57,5th Phase JP Nagar,1200,2.0,68.0,2.0
58,5th Phase JP Nagar,1190,2.0,61.8,2.0
59,5th Phase JP Nagar,1080,2.0,53.0,2.0
60,5th Phase JP Nagar,1041,2.0,54.0,2.0
61,5th Phase JP Nagar,812,2.0,42.0,2.0
62,5th Phase JP Nagar,1010,2.0,57.0,2.0
63,5th Phase JP Nagar,1075,2.0,60.0,2.0
64,5th Phase JP Nagar,1725,2.0,100.0,3.0
65,5th Phase JP Nagar,1700,2.0,100.0,3.0
66,5th Phase JP Nagar,1485,2.0,67.0,3.0
67,5th Phase JP Nagar,1350,2.0,75.0,3.0
68,5th Phase JP Nagar,1240,3.0,60.0,3.0
69,5th Phase JP Nagar,1550,3.0,75.0,3.0
70,5th Phase JP Nagar,1485,2.0,66.0,3.0
71,5th Phase JP Nagar,1450,2.0,73.0,3.0
72,5th Phase JP Nagar,2500,5.0,110.0,5.0
73,5th Phase JP Nagar,4000,5.0,170.0,5.0
74,6th Phase JP Nagar,1192,2.0,74.0,2.0
75,6th Phase JP Nagar,1180,2.0,80.0,2.0
76,6th Phase JP Nagar,1140,2.0,65.0,2.0
77,6th Phase JP Nagar,1213,2.0,63.0,2.0
78,6th Phase JP Nagar,1216,2.0,60.0,2.0
79,6th Phase JP Nagar,1192,2.0,75.0,2.0
80,6th Phase JP Nagar,1280,2.0,88.0,2.0
81,6th Phase JP Nagar,1645,3.0,100.0,3.0
82,6th Phase JP Nagar,2040,3.0,200.0,3.0
83,6th Phase JP Nagar,2003,3.0,200.0,3.0
84,6th Phase JP Nagar,1810,3.0,131.0,3.0
85,6th Phase JP Nagar,1515,2.0,135.0,3.0
86,6th Phase JP Nagar,3245,4.0,250.0,4.0
87,7th Phase JP Nagar,750,1.0,47.0,1.0
88,7th Phase JP Nagar,1000,1.0,60.0,1.0
89,7th Phase JP Nagar,1080,2.0,72.0,2.0
90,7th Phase JP Nagar,1270,2.0,93.0,2.0
91,7th Phase JP Nagar,1245,2.0,94.0,2.0
92,7th Phase JP Nagar,1175,2.0,82.0,2.0
93,7th Phase JP Nagar,1050,2.0,71.0,2.0
94,7th Phase JP Nagar,1100,2.0,46.0,2.0
95,7th Phase JP Nagar,918,2.0,50.49,2.0
96,7th Phase JP Nagar,1190,2.0,49.98,2.0
97,7th Phase JP Nagar,980,2.0,69.0,2.0
98,7th Phase JP Nagar,1180,2.0,72.0,2.0
99,7th Phase JP Nagar,1270,2.0,83.0,2.0
100,7th Phase JP Nagar,1175,2.0,82.5,2.0
101,7th Phase JP Nagar,1215,2.0,90.0,2.0
102,7th Phase JP Nagar,1050,2.0,75.0,2.0
103,7th Phase JP Nagar,1130,2.0,73.0,2.0
104,7th Phase JP Nagar,1050,2.0,50.0,2.0
105,7th Phase JP Nagar,1275,2.0,87.0,2.0
106,7th Phase JP Nagar,850,2.0,42.0,2.0
107,7th Phase JP Nagar,1236,2.0,61.33,2.0
108,7th Phase JP Nagar,1000,2.0,53.0,2.0
109,7th Phase JP Nagar,1187,2.0,59.0,2.0
110,7th Phase JP Nagar,1000,2.0,61.0,2.0
111,7th Phase JP Nagar,1200,2.0,62.5,2.0
112,7th Phase JP Nagar,1000,2.0,70.65,2.0
113,7th Phase JP Nagar,1080,2.0,75.0,2.0
114,7th Phase JP Nagar,1120,2.0,65.0,2.0
115,7th Phase JP Nagar,1100,3.0,60.0,2.0
116,7th Phase JP Nagar,1050,2.0,77.0,2.0
117,7th Phase JP Nagar,1050,2.0,75.0,2.0
118,7th Phase JP Nagar,1040,2.0,75.0,2.0
119,7th Phase JP Nagar,1050,2.0,68.0,2.0
120,7th Phase JP Nagar,1000,2.0,60.0,2.0
121,7th Phase JP Nagar,1050,2.0,77.47,2.0
122,7th Phase JP Nagar,1270,2.0,80.0,2.0
123,7th Phase JP Nagar,1130,2.0,85.0,2.0
124,7th Phase JP Nagar,980,2.0,77.44,2.0
125,7th Phase JP Nagar,990,2.0,50.0,2.0
126,7th Phase JP Nagar,1128,2.0,60.0,2.0
127,7th Phase JP Nagar,1140,2.0,57.0,2.0
128,7th Phase JP Nagar,1420,2.0,100.0,3.0
129,7th Phase JP Nagar,1850,3.0,150.0,3.0
130,7th Phase JP Nagar,1400,2.0,95.0,3.0
131,7th Phase JP Nagar,1450,2.0,100.0,3.0
132,7th Phase JP Nagar,1420,2.0,96.0,3.0
133,7th Phase JP Nagar,1680,3.0,120.0,3.0
134,7th Phase JP Nagar,1050,2.0,57.0,3.0
135,7th Phase JP Nagar,1343,2.0,56.41,3.0
136,7th Phase JP Nagar,1405,2.0,59.01,3.0
137,7th Phase JP Nagar,1400,3.0,115.0,3.0
138,7th Phase JP Nagar,1250,3.0,65.0,3.0
139,7th Phase JP Nagar,1385,2.0,58.17,3.0
140,7th Phase JP Nagar,1575,2.0,110.0,3.0
141,7th Phase JP Nagar,1850,3.0,140.0,3.0
142,7th Phase JP Nagar,1575,2.0,120.0,3.0
143,7th Phase JP Nagar,1850,3.0,150.0,3.0
144,7th Phase JP Nagar,1680,3.0,120.0,3.0
145,7th Phase JP Nagar,1300,3.0,89.13,3.0
146,7th Phase JP Nagar,1450,3.0,100.0,3.0
147,7th Phase JP Nagar,1350,3.0,58.0,3.0
148,7th Phase JP Nagar,1460,3.0,70.0,3.0
149,7th Phase JP Nagar,1650,3.0,110.0,3.0
150,7th Phase JP Nagar,1680,3.0,117.0,3.0
151,7th Phase JP Nagar,1850,3.0,150.0,3.0
152,7th Phase JP Nagar,1680,3.0,125.0,3.0
153,7th Phase JP Nagar,1675,2.0,135.0,3.0
154,7th Phase JP Nagar,1850,3.0,155.0,3.0
155,7th Phase JP Nagar,1460,2.0,100.0,3.0
156,7th Phase JP Nagar,1650,3.0,110.0,3.0
157,7th Phase JP Nagar,1415,3.0,65.0,3.0
158,7th Phase JP Nagar,1680,3.0,125.0,3.0
159,7th Phase JP Nagar,1460,2.0,97.0,3.0
160,7th Phase JP Nagar,1790,3.0,120.0,3.0
161,7th Phase JP Nagar,1680,3.0,117.0,3.0
162,7th Phase JP Nagar,1400,2.0,95.0,3.0
163,7th Phase JP Nagar,1800,3.0,130.0,3.0
164,7th Phase JP Nagar,1680,3.0,125.0,3.0
165,7th Phase JP Nagar,1463,2.0,61.45,3.0
166,7th Phase JP Nagar,1680,3.0,122.0,3.0
167,7th Phase JP Nagar,1680,3.0,130.0,3.0
168,7th Phase JP Nagar,1680,3.0,112.0,3.0
169,7th Phase JP Nagar,1515,2.0,76.0,3.0
170,7th Phase JP Nagar,1976,3.0,145.0,3.0
171,7th Phase JP Nagar,1600,2.0,110.0,3.0
172,7th Phase JP Nagar,1765,3.0,118.0,3.0
173,7th Phase JP Nagar,1275,2.0,88.0,3.0
174,7th Phase JP Nagar,1450,2.0,102.0,3.0
175,7th Phase JP Nagar,1575,2.0,110.0,3.0
176,7th Phase JP Nagar,1075,2.0,57.0,3.0
177,7th Phase JP Nagar,1680,2.0,92.0,3.0
178,7th Phase JP Nagar,1430,2.0,102.0,3.0
179,7th Phase JP Nagar,1420,3.0,90.0,3.0
180,7th Phase JP Nagar,3300,4.0,150.0,4.0
181,7th Phase JP Nagar,2503,4.0,188.0,4.0
182,8th Phase JP Nagar,500,1.0,31.0,1.0
183,8th Phase JP Nagar,500,1.0,30.0,1.0
184,8th Phase JP Nagar,500,1.0,33.0,1.0
185,8th Phase JP Nagar,1073,2.0,54.005,2.0
186,8th Phase JP Nagar,1062,2.0,42.47,2.0
187,8th Phase JP Nagar,1098,2.0,43.91,2.0
188,8th Phase JP Nagar,1080,2.0,38.0,2.0
189,8th Phase JP Nagar,1059,2.0,34.5,2.0
190,8th Phase JP Nagar,1080,2.0,35.0,2.0
191,8th Phase JP Nagar,1062,2.0,42.47,2.0
192,8th Phase JP Nagar,1100,2.0,35.0,2.0
193,8th Phase JP Nagar,1035,2.0,39.33,2.0
194,8th Phase JP Nagar,1125,2.0,36.94,2.0
195,8th Phase JP Nagar,1100,2.0,35.0,2.0
196,8th Phase JP Nagar,1089,2.0,43.55,2.0
197,8th Phase JP Nagar,1089,2.0,43.55,2.0
198,8th Phase JP Nagar,1006,2.0,44.0,2.0
199,8th Phase JP Nagar,1160,2.0,95.0,2.0
200,8th Phase JP Nagar,1046,2.0,48.0,2.0
201,8th Phase JP Nagar,1240,3.0,43.5,3.0
202,8th Phase JP Nagar,1230,2.0,43.5,3.0
203,8th Phase JP Nagar,1455,3.0,73.31,3.0
204,8th Phase JP Nagar,1800,3.0,80.0,3.0
205,8th Phase JP Nagar,1275,2.0,41.5,3.0
206,8th Phase JP Nagar,1431,3.0,72.02,3.0
207,8th Phase JP Nagar,1605,2.0,65.0,3.0
208,8th Phase JP Nagar,1504,2.0,83.0,3.0
209,8th Phase JP Nagar,1368,2.0,54.71,3.0
210,8th Phase JP Nagar,1224,2.0,48.95,3.0
211,8th Phase JP Nagar,1296,2.0,51.83,3.0
212,8th Phase JP Nagar,1275,3.0,45.0,3.0
213,8th Phase JP Nagar,1269,2.0,50.75,3.0
214,8th Phase JP Nagar,1408,3.0,80.0,3.0
215,8th Phase JP Nagar,1500,2.0,55.0,3.0
216,8th Phase JP Nagar,2700,4.0,130.0,4.0
217,8th Phase JP Nagar,2100,4.0,92.0,4.0
218,8th Phase JP Nagar,2600,4.0,115.0,4.0
219,8th Phase JP Nagar,1730,5.0,75.0,5.0
220,9th Phase JP Nagar,600,1.0,20.0,1.0
221,9th Phase JP Nagar,1005,2.0,50.0,2.0
222,9th Phase JP Nagar,1100,2.0,65.0,2.0
223,9th Phase JP Nagar,1080,2.0,37.0,2.0
224,9th Phase JP Nagar,1035,2.0,45.0,2.0
225,9th Phase JP Nagar,1164,2.0,56.0,2.0
226,9th Phase JP Nagar,1005,2.0,42.0,2.0
227,9th Phase JP Nagar,1127,2.0,50.0,2.0
228,9th Phase JP Nagar,1005,2.0,43.0,2.0
229,9th Phase JP Nagar,1050,2.0,39.0,2.0
230,9th Phase JP Nagar,1079,2.0,60.0,2.0
231,9th Phase JP Nagar,1200,2.0,80.0,2.0
232,9th Phase JP Nagar,905,2.0,32.0,2.0
233,9th Phase JP Nagar,1073,2.0,52.36,2.0
234,9th Phase JP Nagar,890,2.0,45.0,2.0
235,9th Phase JP Nagar,1050,2.0,35.0,2.0
236,9th Phase JP Nagar,1890,2.0,85.0,3.0
237,9th Phase JP Nagar,1890,2.0,93.0,3.0
238,9th Phase JP Nagar,1780,3.0,88.0,3.0
239,9th Phase JP Nagar,1300,2.0,58.0,3.0
240,9th Phase JP Nagar,1522,3.0,90.0,3.0
241,9th Phase JP Nagar,1571,3.0,65.0,3.0
242,9th Phase JP Nagar,1240,2.0,39.89,3.0
243,9th Phase JP Nagar,1240,2.0,42.85,3.0
244,9th Phase JP Nagar,5000,4.0,290.0,4.0
245,9th Phase JP Nagar,1900,4.0,80.0,4.0
246,9th Phase JP Nagar,5000,4.0,300.0,4.0
247,AECS Layout,1100,2.0,45.0,2.0
248,AECS Layout,1028,2.0,42.0,2.0
249,AECS Layout,1199,2.0,65.0,2.0
250,AECS Layout,1080,2.0,55.0,2.0
251,AECS Layout,1123,2.0,64.0,2.0
252,AECS Layout,1308,2.0,60.0,2.0
253,AECS Layout,1005,2.0,55.0,2.0
254,AECS Layout,2000,3.0,90.0,3.0
255,Abbigere,765,2.0,30.0,1.0
256,Abbigere,734,1.0,19.82,1.0
257,Abbigere,985,2.0,40.39,2.0
258,Abbigere,880,2.0,35.0,2.0
259,Abbigere,795,2.0,32.54,2.0
260,Abbigere,1005,2.0,39.59,2.0
261,Abbigere,1020,2.0,41.82,2.0
262,Abbigere,985,2.0,40.39,2.0
263,Abbigere,795,2.0,32.54,2.0
264,Abbigere,1130,2.0,46.33,2.0
265,Abbigere,795,1.0,32.6,2.0
266,Abbigere,985,2.0,38.92,2.0
267,Abbigere,1000,2.0,41.0,2.0
268,Abbigere,995,2.0,40.8,2.0
269,Abbigere,1020,2.0,40.8,2.0
270,Abbigere,1260,2.0,45.0,3.0
271,Abbigere,2200,6.0,68.0,6.0
272,Abbigere,2500,6.0,81.0,6.0
273,Abbigere,3000,8.0,150.0,8.0
274,Akshaya Nagar,1388,2.0,57.0,2.0
275,Akshaya Nagar,1070,2.0,54.0,2.0
276,Akshaya Nagar,1280,2.0,58.0,2.0
277,Akshaya Nagar,1280,2.0,60.0,2.0
278,Akshaya Nagar,1280,2.0,60.0,2.0
279,Akshaya Nagar,1200,2.0,50.0,2.0
280,Akshaya Nagar,1092,2.0,60.0,2.0
281,Akshaya Nagar,1314,2.0,68.8,2.0
282,Akshaya Nagar,1265,2.0,67.0,2.0
283,Akshaya Nagar,1126,2.0,55.0,2.0
284,Akshaya Nagar,1300,2.0,54.0,2.0
285,Akshaya Nagar,1113,2.0,52.0,2.0
286,Akshaya Nagar,1100,2.0,48.0,2.0
287,Akshaya Nagar,1300,2.0,66.0,2.0
288,Akshaya Nagar,1225,2.0,68.0,2.0
289,Akshaya Nagar,1179,2.0,51.0,2.0
290,Akshaya Nagar,900,2.0,45.0,2.0
291,Akshaya Nagar,1662,3.0,85.1,3.0
292,Akshaya Nagar,1897,3.0,120.0,3.0
293,Akshaya Nagar,1410,2.0,75.0,3.0
294,Akshaya Nagar,1360,2.0,85.0,3.0
295,Akshaya Nagar,1600,2.0,65.0,3.0
296,Akshaya Nagar,1410,2.0,80.0,3.0
297,Akshaya Nagar,1662,3.0,85.0,3.0
298,Akshaya Nagar,1662,3.0,85.5,3.0
299,Akshaya Nagar,1666,3.0,95.0,3.0
300,Akshaya Nagar,1575,3.0,90.0,3.0
301,Akshaya Nagar,1430,2.0,75.0,3.0
302,Akshaya Nagar,1419,2.0,73.0,3.0
303,Akshaya Nagar,1690,3.0,85.0,3.0
304,Akshaya Nagar,1700,3.0,80.0,3.0
305,Akshaya Nagar,1897,4.0,93.0,3.0
306,Akshaya Nagar,1884,3.0,98.0,3.0
307,Akshaya Nagar,1690,3.0,85.0,3.0
308,Akshaya Nagar,2300,4.0,102.0,3.0
309,Akshaya Nagar,1662,3.0,90.0,3.0
310,Akshaya Nagar,1420,2.0,75.0,3.0
311,Akshaya Nagar,1412,2.0,88.0,3.0
312,Akshaya Nagar,1434,3.0,84.0,3.0
313,Akshaya Nagar,1890,4.0,100.0,3.0
314,Akshaya Nagar,1419,2.0,87.0,3.0
315,Akshaya Nagar,1690,3.0,85.0,3.0
316,Akshaya Nagar,1820,4.0,95.0,3.0
317,Akshaya Nagar,1896,3.0,102.0,3.0
318,Akshaya Nagar,1421,2.0,73.0,3.0
319,Akshaya Nagar,1893,4.0,95.0,3.0
320,Ambalipura,770,1.0,43.82,1.0
321,Ambalipura,1105,2.0,75.0,2.0
322,Ambalipura,1150,2.0,80.0,2.0
323,Ambalipura,1250,2.0,66.25,2.0
324,Ambalipura,1332,2.0,79.0,2.0
325,Ambalipura,1230,2.0,66.25,2.0
326,Ambalipura,1351,2.0,77.0,2.0
327,Ambalipura,1303,2.0,80.0,2.0
328,Ambalipura,1060,2.0,58.5,2.0
329,Ambalipura,1198,2.0,80.0,2.0
330,Ambalipura,1800,3.0,110.0,3.0
331,Ambalipura,1730,3.0,120.0,3.0
332,Ambalipura,1817,3.0,102.0,3.0
333,Ambalipura,1607,2.0,112.0,3.0
334,Ambalipura,1650,3.0,100.0,3.0
335,Ambalipura,1607,2.0,112.0,3.0
336,Ambalipura,2550,4.0,149.0,4.0
337,Ambalipura,2750,4.0,142.0,4.0
338,Ambedkar Nagar,1424,2.0,90.0,2.0
339,Ambedkar Nagar,1424,2.0,90.0,2.0
340,Ambedkar Nagar,1409,2.0,95.0,2.0
341,Ambedkar Nagar,1425,2.0,94.0,2.0
342,Ambedkar Nagar,1935,4.0,130.0,3.0
343,Ambedkar Nagar,1862,3.0,120.0,3.0
344,Ambedkar Nagar,1850,4.0,139.0,3.0
345,Ambedkar Nagar,1936,4.0,126.0,3.0
346,Ambedkar Nagar,1862,3.0,119.0,3.0
347,Ambedkar Nagar,1856,3.0,120.0,3.0
348,Ambedkar Nagar,1852,3.0,130.0,3.0
349,Ambedkar Nagar,1850,4.0,120.0,3.0
350,Ambedkar Nagar,1950,4.0,120.0,3.0
351,Ambedkar Nagar,1921,4.0,129.0,3.0
352,Ambedkar Nagar,1920,4.0,121.0,3.0
353,Ambedkar Nagar,1935,4.0,125.0,3.0
354,Ambedkar Nagar,1852,4.0,122.0,3.0
355,Ambedkar Nagar,1950,4.0,120.0,3.0
356,Ambedkar Nagar,1852,3.0,125.0,3.0
357,Ambedkar Nagar,1850,4.0,121.0,3.0
358,Ambedkar Nagar,3530,4.0,290.0,4.0
359,Ambedkar Nagar,3565,4.0,255.0,4.0
360,Amruthahalli,485,1.0,19.5,1.0
361,Amruthahalli,900,2.0,40.0,2.0
362,Amruthahalli,1200,2.0,55.0,2.0
363,Amruthahalli,924,2.0,45.0,2.0
364,Amruthahalli,900,2.0,60.0,2.0
365,Amruthahalli,1100,2.0,45.0,2.0
366,Amruthahalli,1200,2.0,55.0,2.0
367,Amruthahalli,1200,2.0,55.0,2.0
368,Amruthahalli,1250,2.0,79.0,2.0
369,Amruthahalli,1190,2.0,50.0,2.0
370,Amruthahalli,1202,2.0,65.0,2.0
371,Amruthahalli,1340,2.0,75.0,2.0
372,Amruthahalli,1025,2.0,42.0,2.0
373,Amruthahalli,1900,3.0,135.0,3.0
374,Amruthahalli,1350,2.0,63.0,3.0
375,Amruthahalli,1605,3.0,65.0,3.0
376,Amruthahalli,1700,3.0,77.0,3.0
377,Amruthahalli,1450,2.0,85.0,3.0
378,Amruthahalli,1450,2.0,90.0,3.0
379,Anandapura,1167,2.0,43.76,2.0
380,Anandapura,1141,2.0,42.79,2.0
381,Anandapura,1200,2.0,67.0,2.0
382,Anandapura,1200,2.0,58.0,2.0
383,Anandapura,1151,2.0,43.1,2.0
384,Anandapura,1141,2.0,42.75,2.0
385,Anandapura,1151,2.0,42.9,2.0
386,Anandapura,1250,2.0,45.0,2.0
387,Anandapura,1151,2.0,43.16,2.0
388,Anandapura,1200,2.0,58.0,2.0
389,Anandapura,1200,2.0,50.0,2.0
390,Anandapura,1141,2.0,50.0,2.0
391,Anandapura,1576,3.0,59.1,3.0
392,Anandapura,1576,3.0,58.0,3.0
393,Anandapura,1200,2.0,66.0,3.0
394,Anandapura,1415,2.0,74.0,3.0
395,Anandapura,1576,3.0,58.7,3.0
396,Anandapura,1749,4.0,90.0,4.0
397,Ananth Nagar,500,1.0,14.0,1.0
398,Ananth Nagar,500,2.0,14.0,1.0
399,Ananth Nagar,500,1.0,14.0,1.0
400,Ananth Nagar,500,1.0,14.0,1.0
401,Ananth Nagar,1100,2.0,31.5,2.0
402,Ananth Nagar,982,2.0,24.55,2.0
403,Ananth Nagar,900,2.0,22.5,2.0
404,Ananth Nagar,908,2.0,26.0,2.0
405,Ananth Nagar,870,2.0,36.0,2.0
406,Ananth Nagar,937,2.0,35.0,2.0
407,Ananth Nagar,960,2.0,37.0,2.0
408,Ananth Nagar,1000,2.0,29.7,2.0
409,Ananth Nagar,850,2.0,25.99,2.0
410,Ananth Nagar,902,2.0,25.26,2.0
411,Ananth Nagar,810,2.0,25.5,2.0
412,Ananth Nagar,890,2.0,27.0,2.0
413,Ananth Nagar,1000,2.0,25.0,2.0
414,Ananth Nagar,902,2.0,25.0,2.0
415,Ananth Nagar,930,2.0,25.99,2.0
416,Ananth Nagar,1074,2.0,26.85,2.0
417,Ananth Nagar,1010,2.0,38.0,2.0
418,Ananth Nagar,992,2.0,24.8,2.0
419,Ananth Nagar,1470,3.0,54.0,3.0
420,Ananth Nagar,1319,3.0,37.75,3.0
421,Ananth Nagar,1319,3.0,42.0,3.0
422,Anekal,600,1.0,16.5,1.0
423,Anekal,530,1.0,18.0,1.0
424,Anekal,400,1.0,11.5,1.0
425,Anekal,456,1.0,15.0,1.0
426,Anekal,420,1.0,12.5,1.0
427,Anekal,1200,1.0,36.0,2.0
428,Anekal,656,2.0,22.0,2.0
429,Anekal,620,2.0,22.0,2.0
430,Anekal,925,2.0,40.0,2.0
431,Anekal,1200,1.0,36.0,2.0
432,Anekal,1035,2.0,38.3,2.0
433,Anekal,888,2.0,34.0,2.0
434,Anekal,1200,2.0,36.1,2.0
435,Anekal,700,1.0,19.4,2.0
436,Anekal,1200,1.0,36.0,2.0
437,Anekal,766,2.0,28.0,2.0
438,Anekal,620,1.0,23.5,2.0
439,Anekal,1200,1.0,36.0,2.0
440,Anekal,1200,1.0,36.0,2.0
441,Anekal,1200,1.0,36.0,2.0
442,Anekal,1200,1.0,36.0,2.0
443,Anekal,1200,2.0,36.1,2.0
444,Anekal,1200,2.0,36.1,2.0
445,Anekal,680,1.0,21.0,2.0
446,Anekal,625,1.0,25.0,2.0
447,Anekal,1800,3.0,68.0,3.0
448,Anekal,1150,3.0,45.0,3.0
449,Anekal,2400,4.0,95.0,3.0
450,Anekal,1200,2.0,36.0,4.0
451,Anjanapura,1070,2.0,39.0,2.0
452,Anjanapura,1070,2.0,37.0,2.0
453,Anjanapura,950,2.0,40.0,2.0
454,Anjanapura,950,2.0,32.0,2.0
455,Anjanapura,1076,2.0,30.13,2.0
456,Anjanapura,950,2.0,30.0,2.0
457,Anjanapura,1500,3.0,121.0,3.0
458,Anjanapura,1280,2.0,45.0,3.0
459,Anjanapura,1347,2.0,37.72,3.0
460,Anjanapura,1843,3.0,87.54,3.0
461,Anjanapura,1850,4.0,86.0,4.0
462,Anjanapura,1800,4.0,55.0,4.0
463,Ardendale,1224,2.0,70.0,2.0
464,Ardendale,1224,2.0,67.0,2.0
465,Ardendale,1750,3.0,100.0,3.0
466,Ardendale,1750,3.0,100.0,3.0
467,Ardendale,1728,3.0,95.0,3.0
468,Ardendale,1650,3.0,82.0,3.0
469,Ardendale,1650,3.0,82.0,3.0
470,Ardendale,1723,3.0,95.0,3.0
471,Ardendale,3198,4.0,200.0,4.0
472,Ardendale,2422,4.0,160.0,4.0
473,Ardendale,3200,4.0,205.0,4.0
474,Ardendale,3198,4.0,250.0,4.0
475,Ardendale,2062,3.0,140.0,4.0
476,Ardendale,2062,3.0,150.0,4.0
477,Ardendale,2800,4.0,140.0,4.0
478,Ardendale,2062,3.0,140.0,4.0
479,Ardendale,4355,3.0,350.0,5.0
480,Arekere,600,1.0,28.0,1.0
481,Arekere,1190,2.0,55.0,2.0
482,Arekere,1100,2.0,55.0,2.0
483,Arekere,900,2.0,50.0,2.0
484,Arekere,1240,2.0,60.0,2.0
485,Arekere,900,2.0,44.5,2.0
486,Arekere,2060,3.0,140.0,3.0
487,Arekere,1740,2.0,95.0,3.0
488,Arekere,2072,3.0,108.0,3.0
489,Arekere,2710,6.0,142.0,4.0
490,Arekere,4125,9.0,265.0,9.0
491,Attibele,450,1.0,11.0,1.0
492,Attibele,400,1.0,11.0,1.0
493,Attibele,400,1.0,12.0,1.0
494,Attibele,400,1.0,14.0,1.0
495,Attibele,500,1.0,17.0,1.0
496,Attibele,395,1.0,10.25,1.0
497,Attibele,420,1.0,17.0,1.0
498,Attibele,418,1.0,12.0,1.0
499,Attibele,400,1.0,10.0,1.0
500,Attibele,450,1.0,12.5,1.0
501,Attibele,400,1.0,11.5,1.0
502,Attibele,460,1.0,13.0,1.0
503,Attibele,418,2.0,11.5,1.0
504,Attibele,410,1.0,10.0,1.0
505,Attibele,400,1.0,10.25,1.0
506,Attibele,520,1.0,15.0,1.0
507,Attibele,656,2.0,25.0,2.0
508,Attibele,1200,2.0,42.0,2.0
509,Attibele,695,1.0,25.0,2.0
510,Attibele,850,1.0,25.0,2.0
511,Attibele,995,1.0,24.88,2.0
512,Attibele,900,1.0,25.0,2.0
513,Attibele,1174,2.0,29.35,2.0
514,Attibele,1175,2.0,29.38,2.0
515,Attibele,656,2.0,25.0,2.0
516,Attibele,1000,2.0,42.0,2.0
517,Attibele,996,2.0,24.9,2.0
518,Attibele,656,2.0,25.0,2.0
519,Attibele,1639,2.0,40.98,3.0
520,Attibele,1700,3.0,65.0,3.0
521,Attibele,1500,3.0,90.0,3.0
522,Attibele,1600,4.0,52.8,4.0
523,Attibele,2168,4.0,95.0,4.0
524,BEML Layout,1060,2.0,55.0,2.0
525,BEML Layout,999,2.0,45.0,2.0
526,BEML Layout,1194,2.0,65.0,2.0
527,BEML Layout,1200,2.0,67.0,2.0
528,BEML Layout,1194,2.0,65.0,2.0
